10001	1	1F BMT실	1	0	1
10001	2	1F 보관실	3	0	2
10001	3	1F 내화금고[홍채]	5	0	3
10001	4	1F 내화금고	7	0	4
10001	6	1F 테이프저장실[지문]	11	0	6
10001	8	1F 문서실[지문]	15	0	8
10002	1	1F 계단[서]	1	0	1
10002	2	1F 보안실	3	0	2
10002	4	1F 교육실[서]	7	0	4
10002	5	1F 교육실[동]	9	0	5
10002	6	1F 의사결정실	11	0	6
10002	7	1F 테스트룸	13	0	7
10002	8	1F 통신실[지문]	15	0	8
10003	1	SG OUT1	1	0	1
10003	2	SG IN1	3	0	2
10003	3	SG OUT2	5	0	3
10003	4	SG IN2	7	0	4
10003	5	SG OUT3	9	0	5
10003	6	SG IN3	11	0	6
10004	1	1F 종합상황실[서/지문]	1	0	1
10004	2	1F 종합상황실[동/지문]	3	0	2
10004	3	1F 계단[동]	5	0	3
11001	1	B1F 방재센터[지문]	1	0	1
11001	2	B1F EV홀	3	0	2
11001	3	B1F 가스실[서]	5	0	3
11001	4	B1F 계단[서]	7	0	4
11002	1	B1F 공조실	1	0	1
11002	2	B1F 가스실[동]	3	0	2
11002	3	B1F 계단[동]	5	0	3
12001	1	B2F 밧데리실	1	0	1
12001	2	B2F 계단[동]	3	0	2
12002	1	B2F 요원실	1	0	1
12002	2	B2F 기계실	3	0	2
12002	3	B2F 수변전실	5	0	3
12002	4	B2F 건축창고	7	0	4
12002	5	B2F UPS실[북]	9	0	5
12002	6	B2F UPS실[남]	11	0	6
12002	7	B2F 발전기실	13	0	7
20001	1	2F 보관실	1	0	1
20001	2	2F 계단[서]	3	0	2
20001	3	2F EV홀	5	0	3
20001	4	2F 사무실[서/남]	7	0	4
20001	5	2F 사무실[서/북]	9	0	5
20002	1	2F 사무실[동/북]	1	0	1
20002	2	2F 계단[동]	3	0	2
20002	3	2F 사무실[동/남]	5	0	3
30001	2	3F 항온항습실-1(서/북)	3	0	2
30001	3	3F 보관실	5	0	3
30001	4	3F 계단(서)	7	0	4
30001	5	3F EV홀	9	0	5
30001	6	3F 항온항습실-4(서/남)	11	0	6
30001	7	3F 전산실(서/지문)	13	1	7
30002	1	3F 항온항습실-2[동/북]	1	0	1
30002	3	3F 항온항습-3[동/남]	5	0	3
30002	4	3F 계단[동]	7	0	4
30002	5	3F 전산실[동/지문]	9	0	5
40001	2	4F 항온항습실-1(서/북)	3	0	2
40001	3	4F 보관실	5	0	3
40001	4	4F 계단(서)	7	0	4
40001	5	4F EV홀	9	0	5
40001	6	4F 항온항습실-4(서/남)	11	0	6
40001	7	4F 전산실(서/지문)	13	0	7
40002	1	4F 항온항습실-2(동/북)	1	0	1
40002	3	4F 계단(동)	5	0	3
40002	4	4F 항온항습실-3(동/남)	7	0	4
40002	5	4F 전산실(동/지문)	9	0	5
50001	2	5F 항온항습실-1(서/북)	3	0	2
50001	3	5F 보관실	5	0	3
50001	4	5F 계단(서)	7	0	4
50001	5	5F EV홀	9	0	5
50001	6	5F 항온항습실-4(서/남)	11	0	6
50001	7	5F 전산실(서/지문)	1	0	7
50002	1	5F 항온항습실-2(동/북)	1	0	1
50002	3	5F 계단(동)	5	0	3
50002	4	5F 항온항습실-3(동/남)	7	0	4
50002	5	5F 전산실(동/지문)	9	0	5
60001	1	6F 전산실(서/지문)	1	0	1
60001	2	6F 항온항습실-1(서/북)	3	0	2
60001	3	6F 보관실	5	0	3
60001	4	6F 계단(서)	7	0	4
60001	5	6F EV홀	9	0	5
60001	6	6F 항온항습실-4(서/남)	11	0	6
60002	1	6F 항온항습실-2(동/북)	1	0	1
60002	2	6F 전산실(동/지문)	3	0	2
60002	3	6F 계단(동)	5	0	3
60002	4	6F 항온항습실-3(동/남)	7	0	4
60003	1	승객EV 1호기	1	0	1
60004	1	승객EV 2호기	1	0	1
61001	1	옥탑 EV 기계실	1	0	1
61001	2	옥탑 계단(서)	3	0	2
61001	3	옥탑 공조실	5	0	3
61001	4	옥탑 태양광발전인버터실	7	0	4
61002	1	옥탑 보관실(기계실)	1	0	1
61002	2	옥탑 화물EV 기계실	3	0	2
